LINEA 1				SIMBOLO			ID
  <FINALEXPRESION>		;			0
  <SALTOLINEA>			salto			2
  <INICIOFINBLOQUE>		_			-1
  <SALTOLINEA>			salto			2
  <SALTOLINEA>			salto			2
  <FUNC>			func			13
  <SEP>			:			39
  <INT>			int			40
  <SEP>			:			39
  <Reservada main>		main			-1
  <LLAVEPARENTESISABRE>		(			24
  <LLAVEPARENTESISCIERRA>	)			25
  <INICIOFINBLOQUE>		_			-1
  <SALTOLINEA>			salto			2
  <APERTURACOMENTARIOCOMPUESTO>	/*			36
  <SALTOLINEA>			salto			2
  <Identificador>		Comentario			32
  <DIGITOS>			1			33
  <SALTOLINEA>			salto			2
  <CIERRECOMENTARIOCOMPUESTO>	*/			37
  <SALTOLINEA>			salto			2
  <LOC>			loc			-1
  <SEP>			:			39
  <CHAR>			char			-1
  <SEP>			:			39
  <Identificador>		miChar			32
  <IGUAL>			=			14
  <COMILLAS>			'			3
  <Simbolo no definido>						-1
  <COMILLAS>			'			3
  <FINALEXPRESION>		;			0
  <SALTOLINEA>			salto			2
  <LOC>			loc			-1
  <SEP>			:			39
  <CHAR>			char			-1
  <SEP>			:			39
  <Identificador>		miChar2			32
  <IGUAL>			=			14
  <COMILLAS>			'			3
  <Simbolo no definido>						-1
  <Simbolo no definido>						-1
  <COMILLAS>			'			3
  <FINALEXPRESION>		;			0
  <SALTOLINEA>			salto			2
  <LOC>			loc			-1
  <SEP>			:			39
  <STRING>			string			-1
  <SEP>			:			39
  <Identificador>		str1			32
  <IGUAL>			=			14
  <COMILLAD>			"			12
  <Identificador>		Mi			32
  <STRING>			string			-1
  <DIGITOS>			1			33
  <COMILLAD>			"			12
  <FINALEXPRESION>		;			0
  <SALTOLINEA>			salto			2
  <LOC>			loc			-1
  <SEP>			:			39
  <FLOAT>			float			42
  <SEP>			:			39
  <Identificador>		fl1			32
  <FINALEXPRESION>		;			0
  <SALTOLINEA>			salto			2
  <LOC>			loc			-1
  <SEP>			:			39
  <FLOAT>			float			42
  <SEP>			:			39
  <Identificador>		fl1			32
  <IGUAL>			=			14
  <DIGITOS>			56			33
  <PUNTO>			.			38
  <DIGITOS>			6			33
  <FINALEXPRESION>		;			0
  <SALTOLINEA>			salto			2
  <LOC>			loc			-1
  <SEP>			:			39
  <INT>			int			40
  <SEP>			:			39
  <Identificador>		in1			32
  <IGUAL>			=			14
  <Identificador>		fl1			32
  <Operador unario>		--			-1
  <SIGNO>			-			-1
  <SIGNO>			-			-1
  <DIGITOS>			14			33
  <Operador binario>		/			-1
  <Identificador>		in1			32
  <Operador unario>		++			-1
  <Operador binario>		+			-1
  <DIGITOS>			7			33
  <SIGNO>			-			-1
  <DIGITOS>			15			33
  <FINALEXPRESION>		;			0
  <SALTOLINEA>			salto			2
  <LOC>			loc			-1
  <SEP>			:			39
  <FLOAT>			float			42
  <SEP>			:			39
  <Identificador>		fl2			32
  <IGUAL>			=			14
  <DIGITOS>			3			33
  <PUNTO>			.			38
  <DIGITOS>			7			33
  <Operador binario>		^			-1
  <Identificador>		fl1			32
  <Operador binario>		+			-1
  <LLAVEPARENTESISABRE>		(			24
  <DIGITOS>			45			33
  <PUNTO>			.			38
  <DIGITOS>			6			33
  <Operador binario>		%			-1
  <DIGITOS>			76			33
  <LLAVEPARENTESISCIERRA>	)			25
  <FINALEXPRESION>		;			0
  <SALTOLINEA>			salto			2
  <SALTOLINEA>			salto			2
  <SALTOLINEA>			salto			2
  <Identificador>		arr			32
